Category,Total,Under $1000,$1000-$9999,$10000-19999,$20000-99999,100K - $999999,Over $1 Million
Music,14744,1434,10935,1709,634,31,1
Film & Video,12796,1216,7748,2008,1668,153,3
Art,5491,1035,3782,457,203,14,0
Publishing,4985,763,3258,588,351,25,0
Theater,3502,465,2634,258,137,8,0
Games,2822,150,1091,541,763,248,29
Design,2433,146,852,458,719,249,9
Food,2042,93,1002,528,397,22,0
Comics,1703,216,1024,246,187,29,1
Fashion,1464,149,816,229,234,35,1
Photography,1426,219,936,182,87,1,1
Technology,1212,52,385,173,353,238,11
Dance,1177,95,976,84,22,0,0